child_id,absent_days,unexcused_absent_days,late_days,attendance_rate,max_consecutive_absent_days,absence_days_last_14d,absence_days_last_30d,monday_friday_absences,synthetic_pattern,expected_anomaly_flag
CH-20315,4,0,0,0.9385,0,0,0,0,normal,0
CH-20088,1,1,2,0.9846,1,1,1,1,normal,0
CH-20387,4,2,3,0.9385,1,2,4,1,mild_irregular,0
CH-20273,0,0,3,1.0,0,0,0,0,normal,0
CH-20166,1,1,2,0.9846,1,0,1,0,normal,0
CH-20328,0,0,3,1.0,0,0,0,0,normal,0
CH-20492,10,6,3,0.8462,4,9,10,8,sudden_spike,1
CH-20134,0,0,2,1.0,0,0,0,0,normal,0
CH-20306,2,0,0,0.9692,0,0,1,0,normal,0
CH-20480,9,6,3,0.8615,4,9,9,7,sudden_spike,1
CH-20319,1,0,2,0.9846,0,0,1,1,normal,0
CH-20243,2,1,1,0.9692,0,0,2,1,normal,0
CH-20054,3,0,1,0.9538,0,1,2,1,normal,0
CH-20363,4,3,8,0.9385,3,3,3,4,mild_irregular,0
CH-20050,2,0,3,0.9692,0,1,1,1,normal,0
CH-20456,13,7,9,0.8,4,6,7,3,frequent_unexcused_absence,1
CH-20174,0,0,0,1.0,0,0,0,0,normal,0
CH-20445,9,9,9,0.8615,6,6,6,9,frequent_unexcused_absence,1
CH-20189,1,1,3,0.9846,0,1,1,0,normal,0
CH-20496,11,9,0,0.8308,4,5,11,7,sudden_spike,1
CH-20187,1,0,0,0.9846,1,1,1,0,normal,0
CH-20169,2,1,2,0.9692,0,0,2,0,normal,0
CH-20058,1,0,3,0.9846,1,0,1,1,normal,0
CH-20048,2,0,1,0.9692,2,0,0,0,normal,0
CH-20344,4,1,1,0.9385,1,0,2,0,normal,0
CH-20235,1,1,3,0.9846,1,0,1,1,normal,0
CH-20252,2,0,2,0.9692,2,0,2,1,normal,0
CH-20021,2,0,2,0.9692,1,0,0,0,normal,0
CH-20313,0,0,0,1.0,0,0,0,0,normal,0
CH-20459,13,13,6,0.8,6,4,5,4,frequent_unexcused_absence,1
CH-20160,1,0,2,0.9846,1,1,1,0,normal,0
CH-20276,0,0,0,1.0,0,0,0,0,normal,0
CH-20443,19,12,2,0.7077,3,5,6,6,frequent_unexcused_absence,1
CH-20191,0,0,1,1.0,0,0,0,0,normal,0
CH-20385,4,2,6,0.9385,2,0,3,2,mild_irregular,0
CH-20293,0,0,1,1.0,0,0,0,0,normal,0
CH-20413,6,3,7,0.9077,2,3,3,4,mild_irregular,0
CH-20343,4,1,1,0.9385,1,1,1,1,normal,0
CH-20257,3,0,1,0.9538,0,0,2,0,normal,0
CH-20308,0,0,1,1.0,0,0,0,0,normal,0
CH-20149,1,0,0,0.9846,1,1,1,1,normal,0
CH-20130,4,0,3,0.9385,1,0,0,0,normal,0
CH-20151,4,1,0,0.9385,0,0,0,0,normal,0
CH-20359,7,3,4,0.8923,2,0,4,2,mild_irregular,0
CH-20099,1,0,0,0.9846,1,1,1,1,normal,0
CH-20372,7,3,5,0.8923,3,0,3,4,mild_irregular,0
CH-20087,4,1,1,0.9385,1,1,1,0,normal,0
CH-20458,14,7,5,0.7846,3,1,6,7,frequent_unexcused_absence,1
CH-20330,1,0,0,0.9846,0,0,0,1,normal,0
CH-20214,2,1,3,0.9692,0,1,1,1,normal,0
CH-20466,10,9,9,0.8462,2,5,8,9,frequent_unexcused_absence,1
CH-20121,3,0,0,0.9538,0,1,1,1,normal,0
CH-20499,9,9,5,0.8615,5,5,9,7,sudden_spike,1
CH-20020,3,1,2,0.9538,1,1,1,1,normal,0
CH-20188,2,0,1,0.9692,2,0,0,0,normal,0
CH-20071,1,0,0,0.9846,0,1,1,1,normal,0
CH-20106,3,0,2,0.9538,1,0,0,0,normal,0
CH-20270,0,0,2,1.0,0,0,0,0,normal,0
CH-20348,3,0,2,0.9538,2,0,0,1,normal,0
CH-20435,20,10,9,0.6923,3,5,9,9,frequent_unexcused_absence,1
CH-20102,4,1,0,0.9385,2,1,2,1,normal,0
